idx,repository,language,architecture,community,continuous_integration,documentation,history,issues,license,size,unit_test,stars,scorebased_org,randomforest_org,scorebased_utl,randomforest_utl,head hash,head tree fingerprint,head test result
588,yxlHuster/Sentiment,Java,0.727273,1,0,0.163296,0.0,0.0,0,1126,0.0,8,0,0,0,0,62efd25ca0856e28552c7cfb8ebeb26e0d8989e7,4125071a88d703da42152f11548f7658954ab436152823fba1113a701b9c1974,Tests_passed
590,jexp/neo4j-rdbms-import,Java,0.928571,1,0,0.11879,0.0,0.0,0,816,0.091156,18,0,0,1,0,266500d1c5d5131664a1538b03399f313936af99,579feda039927ee319a8de40584917ab8741ccc3e8c2cd6d357ac25421da465f,Tests_passed
604,dobrakmato/rpbuild,Java,0.90625,1,1,0.377376,0.0,0.0,1,1500,0.0,6,0,0,1,1,e800c631f8df2e85d753d9f7379010c3367d34bb,39e5117b04390a697a9160d6566312c338316ec54264c8c64a8fafb120d44d62,Tests_passed
610,vbauer/caesar,Java,0.833333,1,1,0.122024,51.0,0.0,1,1628,0.588339,109,1,0,1,1,bc5f07c0d3fd5e40167ab72b36206b218555f734,61e8aacfbac75fe9d1ea713bcf6b924ae1d8e1cd8d7fc4f4973e1c0b8e890694,Tests_passed
627,GoogleCloudPlatform/bigquery-samples-java,Java,0.0,3,0,0.354305,0.576923,0.038462,1,243,0.0,30,0,0,1,1,792fabaab3639216b978366b12d5f10258603b54,8ac1b253d483d11c693b2d48b3bf5ac21a4d561bdc2df751f64e571382a6d81f,Tests_passed
639,algaworks/ebook-javaee,Java,0.727273,1,0,0.01048,0.230769,0.0,0,1133,0.0,108,0,0,1,0,60ce90fc59b50cd207a22941a8c1c532710130e2,a5408b8c3bd56d7f7c2ac15f1d68225e6539f6401d68d4bdf47eb1cdb65cda44,Tests_passed
645,OpenHFT/Chronicle-Bytes,Java,0.982143,3,0,0.147494,85.0,1.0,1,4729,0.162497,40,1,1,1,1,26592d9ee1e4fe81c1350e8b1839c62478c0e44e,916837ea97dc1d915e5b2504147ddd135f178c528f8dbb0100a471d4bb7987c5,Tests_passed
646,OpenHFT/Chronicle-Threads,Java,0.8,3,0,0.191824,0.0,0.0,1,258,0.208,7,1,0,1,1,ba66310c364aeddf1a7f2de711b0a00adeb0424c,bb20daa3e8e395e58c3a862c58ca254cbc540d9bf6313116d286eff38fc942af,Tests_passed
648,brooklyncentral/brooklyn-ambari,Java,0.931034,2,0,0.280996,2.818182,0.181818,1,1814,0.313908,6,1,1,1,1,7a1d6ebf763f02e13923ec2507ad129adeca3496,f27412eafe9702a692d326d3b2d61c8f46f36d7036d4667d9b03e3be9ba7f6b0,Tests_passed
652,Comcast/hlsparserj,Java,0.818182,0,0,0.552101,0.0,0.0,1,1384,0.266473,6,0,0,1,0,c287e780d752981fde49d1297cf82d123c78637e,f1a7556fbc12bd59df37e3c6a38e149f9e1a1f307f7606a5df28eddd18219c47,Tests_passed
